content,predicted_category
"31 Mart yerel seçimlerinde yüzde 52'lik kesimini desteğini alarak Siirt'in Pervari ilçesinde belediye başkanı seçilen Tayyar Özcan'ın alkollü bir mekanda bir kadınla çekilen görüntüleri tartışma yarattı. Özcan'ın ters düştüğü koruması tarafından servis edilen servis edildiği öne sürülen görüntüler, kısa sürede çok sayıda yorum ve paylaşım aldı.

Görüntüler sosyal medyada hızla yayılırken Başkan Özcan, konuyla ilgili sessizliğini koruyor. Haberler.com olarak objektif habercilik ilkesi gereği bahsi geçen habere konu olan kişi ya da kişilerin açıklamasına da yer vereceğimizi belirtmek isteriz.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",teknoloji 
"Teknik direktör arayışlarını sürdüren  Beşiktaş, Fenerbahçe başkan adaylarından  Aziz Yıldırım'ın görüşme gerçekleştirdiği dünyaca ünlü teknik adam Jose Mourinho ile temasa geçti. Beşiktaş 2. Başkanı Hüseyin Yücel, ile 1 ay önce yüz yüze görüşen Mourinho, görüşmenin ardından Beşiktaş'a yeşil ışık yaktı.


Hüseyin Yücel'in açıklamaları şu şekilde:
""Yaklaşık 1 ay önce İstanbul'da, Jose Mourinho ile görüştüm. Kendisini Beşiktaş'ta görmek istediğimi söyledim. Beşiktaş'ın kimyasına uygun olduğunu dile getirdim. Jose Mourinho, teklif sonrası bir değerlendirme yapacağını, Beşiktaş'ı takip edeceğini ve geri dönüş yapacağını dile getirdi. Mourinho, bir süre sonra geri dönüş yaptı ve gelmeyi kabul etti. Önümüzdeki hafta İtalya'da yeniden görüşme yapacağım. Beşiktaş'ta çalışmak istediğini söyledi. Beşiktaş olarak Mourinho'nun ekonomik anlamdaki beklentilerini karşıladık. Sponsorluklar özelinde çalışmamız var. Rakamları karşılamaya hazırız. Yönetim kurulu içerisinde Mourinho konusunu değerlendireceğiz. Önümüzdeki hafta İtalya'da son bir görüşme gerçekleştireceğiz.""

Öte yandan Fenerbahçe Başkan Aziz Yıldırım da göreve gelmesi durumunda teknik direktörlük için Jose Mourinho'yu düşündüğünü ve Portekizli teknik adam ile görüşmelerde bulunduklarını açıklamıştı. Ayrıca Fenerbahçe'nin mevcut başkanı Ali Koç'un da Jose Mourinho ile görüşmelerde bulunduğu iddia edilmişti.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",spor 
"Trendyol Süper Lig'de 37. hafta maçlarının ardından İstanbulspor'dan sonra 1 takımın daha küme düşmesi kesinleşti.
Trendyol Süper Lig'in 37. haftasında  Gaziantep Fk'ya 3-1 yenilen VavaCars  Fatih Karagümrük, İstanbulspor'un ardından küme düşen ikinci takım oldu.


Siltaş Yapı Pendikspor ise MKE Ankaragücü ile 0-0'lık skorla berabere kaldı ve kümede kalma ihtimalini mucizelere bıraktı. İstanbul temsilcisi matematiksel olarak küme düşmese bile son çıkacağı maçta 26 farklı galibiyete ihtiyacı olacak. Pendikspor, ligin son haftasında VavaCars Fatih Karagümrük ve Atakaş Hatayspor'un puan kaybetmesini ve -4 averajlı MKE Ankaragücü'nün yenilmesini bekleyecek. -30 averajlı takımın, tüm bu senaryoların gerçekleşmesi halinde bile son maçta  Gaziantep FK ile oynayacağı mücadelede 26 farklı galibiyet alması gerekecek.

14- Gaziantep FK: 41 puan/-8 averaj
15- Konyaspor: 41 puan/-11 averaj
16- Ankaragücü:  40 puan/-4 averaj
---------------------------------------------------------
17- Hatayspor: 38 puan/-9 averaj
18- Karagümrük: 37 puan/-5 averaj
19- Pendikspor:  37 puan/-30 averaj
20- İstanbulspor:  16 puan/-47 averaj
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",spor 
"Gazze'deki İsrailli esirlerin aileleri, Başbakan Binyamin Netanyahu'nun ""esirleri ölüme terk ettiğini ve esir takası anlaşması müzakerelerini sabote ettiğini"" belirterek, Netanyahu'nun görevden alınması talebinde bulundu.


İsrail'in Gazze Şeridi'ndeki saldırıları devam ederken, İsrailli esirlerin aileleri bir kez daha Tel Aviv'de sokaklara indi. Binlerce kişinin katıldığı gösterilerde polisin müdahalesi sert oldu. Polis göstericilere biber gazı ve tazyikli su ile müdahale ederken, çok sayıda kişi gözaltına alındı.

Aileler, İsrail Savunma Bakanlığı önünde bir araya gelerek, Netanyahu'nun esirler konusundaki tutumunu eleştiren bir açıklama yaptı. İsrail Savaş Kabinesi'ne çağrıda bulunan aileler, yaptıkları açıklamada, ""Doğru şeyi yapma cesaretiniz olmadığı için daha ne kadar kan dökülecek? Gerçeği ortaya çıkarmak sizin göreviniz."" ifadelerini kullandı.

""Netanyahu'yu bir an önce iktidardan uzaklaştırmak sizin ahlaki sorumluluğunuz."" ifadesine yer verilen açıklamada, Başbakan'ın ""esirleri ölüme terk ettiği"" vurgulandı. Açıklamada, tüm esirleri kurtarmanın tek yolunun İsrail'in saldırılarının sonlanması ve esir takası anlaşmasının imzalanması olduğu belirtilerek, ""Netanyahu'nun esir takası anlaşması müzakerelerini sabote etmeye devam etmesine neden izin veriyorsunuz?"" ifadelerine yer verildi.

Netanyahu ile Gazze'nin idaresi konusunda karşı karşıya gelen Savunma Bakanı Yoav Gallant'ın açıklamaları hatırlatılan açıklamada, şunlar kaydedildi: ""Neden onun (Netanyahu'nun) yaptıkları karşısında sessiz kalıyorsunuz? Gallant'ın yaptığı gibi bunu kamuoyuna anlatmıyorsunuz?"" Açıklamada ayrıca İsrail'in Refah'a saldırısının ""esirlerin hayatlarını tehlikeye attığı"" belirtilerek, ""Esirlerin kanı Netanyahu ve onunla işbirliği yapan herkesin elindedir."" ifadeleri kullanıldı.

İsrail ordusu, dün, 7 Ekim'de öldürüldükten sonra Gazze Şeridi'ne götürülen 3 İsraillinin cesedine ulaşıldığını iddia etmişti. Ordu Sözcüsü Daniel Hagari, düzenlediği basın toplantısında, Gazze'de 3 İsraillinin cesedinin bulunduğunu öne sürmüştü. Başbakan Netanyahu da, sosyal medya hesabından paylaştığı taziye mesajında, ""Yaşayan ve ölen tüm rehinelerimizi geri getireceğiz."" ifadesini kullanmıştı.

Hamas Hareketi Siyasi Büro Başkanı İsmail Heniyye, 6 Mayıs'ta Katar ve Mısır'a, Gazze Şeridi'nde ateşkes ve esir takası anlaşması ilişkin önerilerini onayladığını bildirmişti. İsrail Savaş Kabinesi'nin ise Hamas'ın bu açıklamasına karşılık, Gazze'nin Refah bölgesine yönelik saldırılara devam kararı alması İsrail'de ateşkes ve esir takası yapılmasını isteyenlerin tepkisine yol açmıştı. Hamas'ın elinde hâla 129 İsrailli esirin olduğu tahmin ediliyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"Edirne'de Hindistan uyruklu bir kişi, çalışmak için geldiği Türkiye'de kaçırıldı. Şahsın ailesinin ihbarı sonrası harekete geçen polis ekipleri Hindistanlıyı kaçırarak ailesinden fidye isteyen 3 Pakistanlıyı yakaladı.
Hindistan'dan İstanbul'a 18 Nisan'da çalışmak için gelen Akhıl Krıshnan Radhakrıshnan, lokantada bulaşıkçı olarak çalışırken, arkadaşı aracılığıyla tanıştığı kişiler kendisini Edirne'ye davet etti. Edirne'de emlak işiyle ilgilendiklerini söyleyen kişilerin, ""Bize emlakçılık ve tercümanlık yapacaksın, ayda 180 bin lira kazanacaksın"" demeleri üzerine Radhakrıshnan, önceki gün otobüsle Edirne'ye geldi.


Telefonda konuştuğu kişilerin verdiği adrese giden Radhakrıshnan, iddiaya göre, buradaki kişiler tarafından rehin alındı. Elleri ve ayaklarını bağlayan kişiler, Akhıl Krıshnan Radhakrıshnan'ın Hindistan'da bulunan ailesini telefonla görüntülü olarak arayıp, rehin alma görüntülerini izleterek, serbest bırakmaları için 2 milyon Rupi (Yaklaşık 775 bin TL) fidye istedi.
Fidyeyi vermek için süre isteyen aile, Radhakrıshnan'ın İstanbul'daki arkadaşını telefonla arayıp oğullarının kaçırıldığını anlatarak yardımcı olmasını istedi. Durumun iletildiği Edirne Emniyet Müdürlüğü, harekete geçti. İl Emniyet Müdürlüğü Asayiş Şube Müdürlüğü ve İstihbarat Şube Müdürlüğü ekiplerinin ortak çalışması sonucu rehin tutulan Radhakrıshnan'ın, Yancıkçı Şahin Mahallesi, Şeyh Çelebi Camii Sokak üzerinde bir evde bulunduğu belirlendi.

Polis, gece yarısı düzenlediği operasyonda, Hintliyi rehin tutanlar polisi görünce kaçmaya çalıştı. Evin çevresi ve çatılarda önlem alan polis 1 kişiyi yolda kaçarken, 1 kişiyi iki apartman arasındaki boşlukta, 1 kişiyi de kömürlükte yakalayarak gözaltına aldı. Evde rehin tutulan Radhakrıshnan da kurtarıldı. Evde ve şüphelilerin üzerlerinde yapılan aramalarda, ruhsatsız 1 pompalı tüfek, 4 fişek, kesici aletler, 220 euro, 16 bin 230 lira ele geçirildi.
Kurtarılan Radhakrıshnan, kendisini kurtaran polise sarılıp sevinç gözyaşları döktü. Hemen telefonla ailesine arayan Radhakrıshnan, kurtarıldığını bildirdi. Polisin gözaltına aldığı 3 şüphelinin Pakistan uyruklu olduğu belirlendi.
Rehin alan kişilere evini kiraya veren 'asayiş' ve 'narkotik' suçlarından kaydı bulunan M.K. (21) de polis tarafından yakalanarak gözaltına alındı. Şüpheliler hakkında, 'yağma', 'gasp', 'tehdit', 'kasten yaralama', 'kişiyi hürriyetinden alıkoyma', 'göçmen kaçakçılığı' suçlarından soruşturma başlatıldı.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"İngiltere'de küçük bir çocuğu istismar ettiği iddia edilen bir  spor sunucusunun evine polis ekipleri tarafından gece yarısı baskın düzenlendi ve incelenmek üzere elektronik cihaz ve belgelere el koyuldu.

Adamın yaklaşık 18 saat gözaltında tutulduğu ve daha fazla soruşturma yapılıncaya kadar kefaletle serbest bırakılmadan önce polis tarafından sorgulandığı bildirildi.
Şikayetçi olduğu iddia edilen kişi yakın zamanda bu iddiayı ortaya attı ve çocuk istismarı uzmanları tarafından ifadeye alınmadan önce durum polise bildirildi. Çocuğun birden fazla kez istismar edildiği iddia edildi.
İngiltere basını, gözaltına alınan adamın komşusunun, ""Polis çok erken geldi. Onu götürdüler ve bir süre evinde arama yaptılar. Onun yakalanması karşısında herkes şoke oldu"" dediğini iddia ediyor. Adı açıklanmayan ünlü isim sonrasında serbest kaldı ancak hakkındaki soruşturma devam ediyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"Burdur'un Çavdır ilçesinde meydana gelen trafik kazasında Ankara Büyükşehir Belediye Başkanı Mansur Yavaş'ın ağabeyi hafif yaralandı ve hastaneye kaldırıldı. Kazada otomobile bağlı römork devrildi ve tekne yola sürüklendi.

Aladdin Yavaş (74) idaresindeki, üzerinde tekne bulunan römork bağlı 48 JT 947 plakalı otomobil, Antalya-Denizli kara yolu Çavdır ilçesi yakınında, bir akaryakıt istasyonunun tabelasına çarparak refüje girdi.

Kazanın etkisiyle otomobile bağlı römork devrildi, tekne yola sürüklendi. İhbar üzerine kaza yerine 112 Acil Sağlık ve jandarma ekipleri sevk edildi.

Kazada hafif yaralanan ve Ankara Büyükşehir Belediye Başkanı Yavaş'ın ağabeyi olduğu öğrenilen Yavaş, sağlık ekibince Çavdır Devlet Hastanesi'ne kaldırıldı. Yavaş, tedavisinin ardından taburcu edildi.

Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"Ayhan Bora Kaplan suç örgütüne yönelik yürütülen soruşturma kapsamında gözaltına alınan Ankara Emniyet Müdür Yardımcısı Murat Çelik'in yerine Yavuz Doğan atandı.

Ayhan Bora Kaplan suç örgütü ile ilgili iddialarda adı geçen ve  Ayhan Bora Kaplan'ın avukatı ile buluştukları iddiası sosyal medyada yer alan Ankara Emniyet Müdür Yardımcısı Murat Çelik, Organize Suçlarla Mücadele Şube Müdürü Kerem Gökay Öner ve Şube Müdür Yardımcısı Şevket Demircan, İçişleri Bakanlığı tarafından önceki hafta görevden uzaklaştırılmıştı. Çelik'in yerine yeni bir atama yapıldı.

""Hükümete komplo iddiasının"" ardından başlatılan soruşturma kapsamında gözaltına alınan Ankara Emniyet Müdür Yardımcısı Murat Çelik'in yerine Yavuz Doğan getirildi.
Ankara Cumhuriyet Başsavcılığınca hazırlanan iddianamede, Ayhan Bora Kaplan ve 5 örgüt yöneticisi hakkında 'suç işlemek amacıyla silahlı örgüt kurmak ve yönetmek', 'kasten adam öldürme', 'nitelikli kasten adam öldürme', 'kasten yaralama', 'kişiyi hürriyetinden yoksun kılma', 'nitelikli yağma', 'eziyet', 'suç delillerini yok etme, gizleme veya değiştirme', 'suç üstlenme' ve 'suçluyu kayırma' suçlarından 1'i ağırlaştırılmış 2'şer kez müebbet ve 169 yıl 6'şar aya kadar hapis cezası istenmişti. Diğer 55 sanık için de çeşitli sürelerde hapis cezası talep edilmişti.

Yurt dışına kaçan gizli tanık Serdar Sertçelik'in Ankara Emniyet Müdürlüğü'ndeki polis müdürleriyle ilgili ""kumpas"" iddiaları sonrası çok sayıda kamu görevlisi gözaltına alınmıştı. Soruşturma kapsamında Organize Suçlarla Mücadele'den sorumlu Ankara Emniyet Müdür Yardımcısı Murat Çelik, Organize Suçlarla Mücadele Şube Müdürü Kerem Gökay Öner ve Müdür Yardımcısı Şevket Demircan açığa alınmış, daha sonra haklarında gözaltı kararı verilmişti.
3 polis müdüründen Kerem Gökay Öner geçtiğimiz akşam serbest bırakıldı. Devam eden soruşturma kapsamında; firari sanık Serdar Sertçelik ile şüpheli Şevket Demircan arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığı'nın talimatıyla gözaltına alındı. Toplam gözaltı sayısı 8'e yükseldi.

Ankara Cumhuriyet Başsavcılığından yapılan açıklamada, ""Devam eden soruşturma kapsamında; firari sanık S.S. ile şüpheli Ş.D. arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığımızın talimatıyla gözaltına alınmıştır. Halen gözaltında 8 şüpheli bulunmaktadır. Şüphelilerin dijitallerinin inceleme işlemleri devam etmektedir. Soruşturmada gelişme oldukça kamuoyuyla paylaşılacağı hususu saygıyla duyurulur."" denildi.
Öte yandan soruşturmada ""M7"" kod adı ile gizli tanıklık yapan Sertçelik'in gözaltındayken kimlerle görüştürüldüğü, elektronik kelepçeyle nasıl rahat dolaştığı, nasıl kaçtığı, bazı siyasetçi ve bürokrat isimlerinin neden dosyaya sokulmaya çalışıldığı gibi soruların yanıtları aranıyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, konuk olduğu tv100 ekranlarında Başak Şengül, Kübra Par ve Duygu Gözde Arslan'ın sorularını yanıtladı. Yılmaz, kamuda tasarruf tedbirleri kapsamında servisleri kaldırılacak çalışanlara ekonomik olarak destek sunulacağını ifade etti.

Yılmaz, konuyla ilgili açıklamasında ""Kamuya eleman alınmayacak diye bir şey söz konusu değil, bir sınır getiriliyor. Ne kadar eksildiyse o kadar istihdam yapılacak. Bunu aşmamak istiyoruz. Kamuda 5 milyonun üzerinde çalışan var. Bir de personel harcamaları tek seferlik değil, sürekli harcamayı gerektiren hususlar. Kamu hizmetlerini aksatmadan belli bir dönem için böyle bir sınır getirdik. Günün ihtiyacına göre planlama yapılmış olunacak. Şu an devam eden servisler süresi doluncaya kadar devam edecek. Toplu taşıma konusunda kamu çalışanlara destek sunulacak"" dedi.

Birden fazla yerden maaş alan kamu görevlilerinin ücretlerine üst sınır getirilmesine ilişkin soru üzerine Yılmaz, kamunun geneli için yıllardır bir uygulama bulunduğunu ve ne kadar yönetim kurulu üyeliği olursa olsun maaşı dışında sadece bir yerden maaş alma hakkı verildiğini anlattı. Yılmaz, buna yönelik bazı istisnaların olduğunu belirterek, ""Birtakım şirketlerde, kamunun ortaklığı olduğu yapılarda görevlendirilenler istisnai de olsa yüksek (maaş) alabiliyorlar. Kamuoyunda bir tepki oluştu bu konulara, adaletsizlik duygusu oluşturdu. Dolayısıyla bir genel sınır koyma kararı aldık"" ifadelerine yer verdi.
Açıklanan tasarruf paketi için ""Bizim reformlarımızın, yaptığımız çalışmaların bir parçası"" diyen Yılmaz, şöyle devam etti: Daha bütünlük içinde bakmak gerekiyor kamu dengelerine. İşin diğer harcama boyutları olduğu gibi gelir boyutu da var. Tahsilat oranını artırdığınız, kayıt dışılığı azalttığınız zaman gelir tarafından dengenizi iyileştirmiş oluyorsunuz. Toplu etkiyi, OVP'yi eylül ayında güncellediğimizde görmüş olacaksınız.""
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",saglik 
"Şanlıurfa'da aşiret düğününde geline 6 kilo altın takılırken, halay çekenlerin üzerine dolar ve TL saçıldı. Takılan altınlardan dolayı gelinin zaman zaman hareket etmekte zorlandığı gözlendi.


İzol aşireti mensubu iş insanı Mehmet Aydınlık ile bankacı Ayşegül Altuner hayatlarını birleştirdi. Kentteki bir düğün salonunda düzenlenen düğüne, bölgedeki aşiret reisleri ile yüzlerce kişi katıldı. Karaköprü Belediye Başkanı Nihat Çiftçi'nin nikahlarını kıymasının ardından dans eden çiftin ve halay çekenlerin üzerine davetliler, 1 dolar ile Türk lirası banknotları saçtı. Deste deste dolarların ve Türk lirasının havada uçuştuğu düğünde, orkestranın görevlendirdiği 10 kişi ise yere atılan paraları toplayarak çantalara koydu.

Yöresel yemek ikramı yapılan düğünde, özel kutu ve tepsilerde getirilen 6 kilo ağırlığında bilezik, taç, kemer, gerdanlık ve kolye gibi takılar geline takıldı. Altınların ağırlığı nedeniyle hareket edemeyen geline yakınları yardımcı olurken, altın takmayan davetliler ise salondaki sandığa para ve altın koyarak isimlerini yazdıkları zarfları attı. Gece sonunda açılan sandıktaki zarflar, iki valize dolduruldu.

Renkli görüntülerin yaşandığı düğünde çiftin yakınları, davetlileri havaya ateş açmamaları konusunda sık sık uyardı.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",ekonomi 
"Tokat'ın Erbaa ilçesinde jandarma ekiplerinin bir ihbar üzerine gittikleri evde patlama meydana geldi. Olayda 5'i jandarma personeli 7 kişi yaralandı.

Edinilen bilgiye göre, aldıkları bir ihbar üzerine Erbaa ilçesine bağlı Karayaka beldesi Hürmüzlü köyünde bulunan bir bağ evine giden jandarma ekiplerinin eve girdikleri sırada patlama meydana geldi.


İddiaya göre 5 jandarma personeli ile Sefa K. ve Ahmet K. isimli kişiler yaralandı. Yaralılar Erbaa Devlet Hastanesi'ne kaldırıldı. Olayla ilgili inceleme başlatıldı.

Patlamaya ilişkin Tokat Valisi Numan Hatipoğlu, sosyal medya hesabından yaptığı açıklamada ""Erbaa ilçemizin Karayaka beldesinde yaşanan patlamada yaralanan Jandarma personelimiz ve vatandaşlarımıza geçmiş olsun diliyorum. Olayla ilgili gerekli araştırma ve soruşturma titizlikle yapılmaktadır. Ancak ilk bulgulara göre olayın aileler arası bir husumetten kaynaklandığı anlaşılmaktadır."" ifadelerini kullandı.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",ekonomi 
"Türkiye'nin gündemine oturan Ayhan Bora Kaplan suç örgütü üzerinden hükümete kumpas kurulacağı iddiaları konuşulmaya devam ederken, soruşturmada yer alan 2 kilit isim arasında iletişime aracılık eden sivil şahıs N.Ö.K. gözaltına alındı.
Suç örgütü lideri Ayhan Bora Kaplan davasının gizli tanığı Serdar Sertçelik önce deşifre olmuş, ardından yurtdışına kaçmıştı. Zorla gizli tanık yapıldığını iddia eden Serdar Sertçelik, emniyetin daha önce AK Parti'de bakanlık yapan birçok isim ile halen aktif görevde bulunan bazı bürokratların isimlerini dosyaya sokmaya çalıştığını ileri sürmüştü. İddiaların ardından başlatılan soruşturma kapsamında Organize Suçlarla Mücadele'den sorumlu Ankara Emniyet Müdür Yardımcısı Murat Çelik, Organize Suçlarla Mücadele Şube Müdürü Kerem Gökay Öner ve Müdür Yardımcısı Şevket Demircan açığa alınmış, daha sonra haklarında gözaltı kararı verilmişti.

3 polis müdüründen Kerem Gökay Öner dün akşam serbest bırakıldı. Devam eden soruşturma kapsamında; firari sanık Serdar Sertçelik ile şüpheli Şevket Demircan arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığı'nın talimatıyla gözaltına alındı. Toplam gözaltı sayısı 8'e yükseldi.

Ankara Cumhuriyet Başsavcılığından yapılan açıklamada, ""Devam eden soruşturma kapsamında; firari sanık S.S. ile şüpheli Ş.D. arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığımızın talimatıyla gözaltına alınmıştır. Halen gözaltında 8 şüpheli bulunmaktadır. Şüphelilerin dijitallerinin inceleme işlemleri devam etmektedir. Soruşturmada gelişme oldukça kamuoyuyla paylaşılacağı hususu saygıyla duyurulur"" denildi.
Ankara Cumhuriyet Başsavcılığınca hazırlanan iddianamede, Ayhan Bora Kaplan ve 5 örgüt yöneticisi hakkında 'suç işlemek amacıyla silahlı örgüt kurmak ve yönetmek', 'kasten adam öldürme', 'nitelikli kasten adam öldürme', 'kasten yaralama', 'kişiyi hürriyetinden yoksun kılma', 'nitelikli yağma', 'eziyet', 'suç delillerini yok etme, gizleme veya değiştirme', 'suç üstlenme' ve 'suçluyu kayırma' suçlarından 1'i ağırlaştırılmış 2'şer kez müebbet ve 169 yıl 6'şar aya kadar hapis cezası istenmişti. Diğer 55 sanık için de çeşitli sürelerde hapis cezası talep edilmişti. Yurt dışına kaçan gizli tanık Serdar Sertçelik'in Ankara Emniyet Müdürlüğü'ndeki polis müdürleriyle ilgili ""kumpas"" iddiaları sonrası çok sayıda kamu görevlisi gözaltına alınmıştı.
Soruşturmada ""M7"" kod adı ile gizli tanıklık yapan Sertçelik'in gözaltındayken kimlerle görüştürüldüğü, elektronik kelepçeyle nasıl rahat dolaştığı, nasıl kaçtığı, bazı siyasetçi ve bürokrat isimlerinin neden dosyaya sokulmaya çalışıldığı gibi soruların yanıtları aranıyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
"İstanbul Arnavutköy'de polis ekipleri metruk bir binanın etrafında kontrol yaptığı sırada araç içinde bulunan 2 şahıs silah çekti. Silahı fark eden polis ekipleriyle şüpheliler arasında çatışma çıkarken çatışmada şüphelilerden 1'i hayatını kaybetti, diğeri ise ağır yaralandı.


Olay, Taşoluk Mahallesi Candaner Sokak'ta meydana geldi. Edinilen bilgilere göre, polis ekipleri Kavakdibi Sokağı üzerinde bulunan metruk binayı uyuşturucu madde kullanımıyla ilgili kontrole gitti. Bina çevresinde çalışma yapan ekipler vatandaştan gelen beyan üzerine yabancı araçlar üzerinde kimlik kontrolü yapmak istedi. Bu sırada sokakta araç içinde bulunan 2 şüpheli polisi görünce silah çekerek kaçmak istedi.

Polis ekipleriyle şüpheliler arasında çatışma çıktı. Çıkan çatışmada ekipler, şüpheli Hakan Ç. ve Erhan K.'yı etkisiz hale getirdi. İhbar üzerine olay yerine sağlık ekipleri sevk edildi. Sağlık ekiplerince yaralanan 2 şüpheli hastaneye kaldırıldı. Erhan K. isimli şüphelinin kaldırıldığı hastanede yapılan tüm müdahalelere rağmen hayatını kaybettiği öğrenildi.
Bacak ve karın boşluğundan ağır yaralanan Hakan Ç. isimli şahsın ise tedavisinin sürdüğü bilgisine ulaşıldı. Konuya ilişkin polis ekiplerinin çalışmaları sürerken şüphelilerin çok sayıda çeşitli suçlardan kaydının olduğu ortaya çıktı.

Öte yandan İstanbul Valiliği'nden konuya ilişkin yapılan açıklamada şu ifadelere yer verildi: ""18.05.2024 tarihi saat 16.00 sıralarında Arnavutköy ilçesi Mehmet Akif Ersoy Mahallesi'nde meydana olayda; Bölgede uyuşturucu satıcılarına yönelik uygulama yapan emniyet ekiplerimiz, bir araca denetim amacıyla yaklaşmış ancak araçta bulunan E.K. ve H.Ç. isimli şahıslar tarafından ekiplerimize ateş açılmıştır. Emniyet ekiplerinin ateşe karşılık vermesi sonucu söz konusu şahıslar vurulmuştur. Hastaneye sevk edilen şahıslardan E.K. hastanede hayatını kaybetmiştir. H.Ç.'nin ise hastanede tedavisi devam etmektedir.
Şahısların üzerlerinde yapılan aramada satışa hazır halde uyuşturucu madde ve ruhsatsız tabanca ele geçirilmiştir. Şahıslarla ilgili yapılan sorgulamasında ise; E.K.'nın Kasten Yaralama, Hırsızlık vb. suçlardan toplam 13, H.Ç.'nin ise toplam 6 suç kaydının olduğu tespit edilmiştir. Konu ile ilgili yürütülen tahkikat işlemleri devam etmektedir.""
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"19 Mayıs Atatürk'ü Anma, Gençlik ve  Spor Bayramı etkinlikleri kapsamında düzenlenen yat yarışları nedeniyle  İstanbul Boğazı'ndaki gemi trafiği çift yönlü olarak askıya alındı.

Kıyı Emniyeti Genel Müdürlüğünden alınan bilgiye göre, Boğaz'daki gemi trafiği sabah saatlerinden itibaren çift yönlü olarak durduruldu.
Boğaz'ın Çırağan Sarayı-Beykoz/Fenerbahçe-Moda parkurunda yapılacak ""TAYK Trofesi 3. Ayak 19 Mayıs Gençlik ve Spor Bayramı - İDO Kupası İstanbul Boğazı Yat Yarışları"" 18.00'e kadar sürecek.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",spor 
"Toz taşınımlı hava  İzmir'de etkisini göstermeye başlarken kısa süreli hafif yağmurun da sabah saatlerinde etkili olması nedeniyle otomobillerin üzerinde çamur kalıntıları oluştu.
Meteoroloji Genel Müdürlüğü tarafından yapılan uyarının ardından toz taşınımlı hava,  İzmir'de de etkili olmaya başladı. Toz taşınımlı hava nedeniyle şehirde görüş mesafesi azalırken, İzmir manzarası puslu havaya dönüştü.


Meteorolojinin internet sitesinde İzmir için verilen Günlük Ortalama Yüzey Toz Konsantrasyonu, 155 metreküp olarak açıklandı. Sabah saatlerinde kente yapan kısa süreli hafif yağmur ise toz taşınımlı hava nedeniyle çamura dönüştü. Özellikle otomobillerin üzerinde çamur kalıntıları oluştu.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
